[16:07:26.829] [INFO] 로깅 시스템 초기화됨
[16:07:26.830] [INFO] 서버 인스턴스 생성됨
[16:07:26.830] [INFO] 서버 초기화 시작 (포트: 9000)
[16:07:26.831] [INFO] 윈속 초기화 성공
[16:07:26.833] [INFO] 리스닝 소켓 생성 성공
[16:07:26.833] [INFO] 소켓 바인딩 성공 (포트: 9000)
[16:07:26.833] [INFO] 리스닝 시작됨
[16:07:26.833] [INFO] IOCP 생성 성공
[16:07:26.834] [INFO] CPU 코어 수: 16, 생성할 작업자 스레드: 16
[16:07:26.834] [INFO] 작업자 스레드 #1 생성됨
[16:07:26.834] [INFO] 작업자 스레드 시작 (ThreadID: 22656)
[16:07:26.835] [INFO] 작업자 스레드 #2 생성됨
[16:07:26.835] [INFO] 작업자 스레드 시작 (ThreadID: 5868)
[16:07:26.835] [INFO] 작업자 스레드 #3 생성됨
[16:07:26.836] [INFO] 작업자 스레드 시작 (ThreadID: 25980)
[16:07:26.836] [INFO] 작업자 스레드 #4 생성됨
[16:07:26.836] [INFO] 작업자 스레드 시작 (ThreadID: 2092)
[16:07:26.837] [INFO] 작업자 스레드 #5 생성됨
[16:07:26.837] [INFO] 작업자 스레드 시작 (ThreadID: 32188)
[16:07:26.837] [INFO] 작업자 스레드 #6 생성됨
[16:07:26.837] [INFO] 작업자 스레드 시작 (ThreadID: 29132)
[16:07:26.838] [INFO] 작업자 스레드 #7 생성됨
[16:07:26.838] [INFO] 작업자 스레드 시작 (ThreadID: 18308)
[16:07:26.838] [INFO] 작업자 스레드 #8 생성됨
[16:07:26.838] [INFO] 작업자 스레드 시작 (ThreadID: 10912)
[16:07:26.839] [INFO] 작업자 스레드 #9 생성됨
[16:07:26.839] [INFO] 작업자 스레드 시작 (ThreadID: 31052)
[16:07:26.839] [INFO] 작업자 스레드 #10 생성됨
[16:07:26.840] [INFO] 작업자 스레드 시작 (ThreadID: 27852)
[16:07:26.840] [INFO] 작업자 스레드 #11 생성됨
[16:07:26.840] [INFO] 작업자 스레드 시작 (ThreadID: 24768)
[16:07:26.840] [INFO] 작업자 스레드 #12 생성됨
[16:07:26.841] [INFO] 작업자 스레드 시작 (ThreadID: 27568)
[16:07:26.841] [INFO] 작업자 스레드 #13 생성됨
[16:07:26.841] [INFO] 작업자 스레드 시작 (ThreadID: 30896)
[16:07:26.841] [INFO] 작업자 스레드 #14 생성됨
[16:07:26.842] [INFO] 작업자 스레드 시작 (ThreadID: 28388)
[16:07:26.842] [INFO] 작업자 스레드 #15 생성됨
[16:07:26.842] [INFO] 작업자 스레드 시작 (ThreadID: 16076)
[16:07:26.843] [INFO] 작업자 스레드 #16 생성됨
[16:07:26.843] [INFO] 작업자 스레드 시작 (ThreadID: 8352)
[16:07:26.843] [INFO] 서버 초기화 완료
[16:07:26.843] [INFO] 서버 실행. 포트 번호: 9000
[16:07:26.843] [INFO] IOCP 멀티플레이어 서버 시작됨...
[16:07:26.843] [INFO] 서버 실행 시작
[16:07:32.132] [INFO] 클라이언트 연결됨: 127.0.0.1:8839 (ID: 1)
[16:07:32.132] [INFO] 새 클라이언트에게 ID 1 전송됨
[16:07:32.132] [INFO] 새 플레이어 정보(ID: 1) 브로드캐스트 - 수신자 수: 0
[16:07:32.132] [INFO] 기존 플레이어 정보 0개가 새 클라이언트(ID: 1)에게 전송됨
[16:07:32.133] [INFO] 서버 FPS: 0.378716, 평균 프레임 시간: 528.100037ms, 클라이언트 수: 1
[16:07:32.133] [INFO] 클라이언트 연결됨: 127.0.0.1:8840 (ID: 2)
[16:07:32.133] [INFO] 새 클라이언트에게 ID 2 전송됨
[16:07:32.133] [INFO] 새 플레이어 정보(ID: 2) 브로드캐스트 - 수신자 수: 1
[16:07:32.133] [INFO] 기존 플레이어 정보 1개가 새 클라이언트(ID: 2)에게 전송됨
[16:07:32.134] [WARNING] 비정상적으로 긴 델타 타임: 5.281000초
[16:07:33.530] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:33.531] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:34.540] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:34.541] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:35.546] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:35.547] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:36.553] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:36.554] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:37.560] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:37.560] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:38.564] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:38.565] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:39.571] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:39.572] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:40.575] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:40.576] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:41.577] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:41.578] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:42.579] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:42.579] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:43.590] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:43.590] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:44.607] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:44.607] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:45.607] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:45.608] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:46.611] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:46.612] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:47.614] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:47.615] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:48.615] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:48.616] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:49.623] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:49.624] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:50.626] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:50.626] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:51.639] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:51.640] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:52.641] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:52.642] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:53.648] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:53.649] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:57.708] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:57.708] [INFO] [서버] PingPacket 수신 - ClientId: 2
[16:07:58.708] [INFO] [서버] PingPacket 수신 - ClientId: 1
[16:07:58.708] [INFO] [서버] PingPacket 수신 - ClientId: 2
